"Sleep HRV — 2026-09-10 to 2026-09-16
========================
Note: dates are wake-up days (each value comes from the night that ended that morning).

HRV Assessment — Last 7 days
========================

2026-09-16:
  HRV Avg: 41 ms — Above normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-15:
  HRV Avg: 37 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-14:
  HRV Avg: 34 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-13:
  HRV Avg: 29 ms — Below normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-12:
  HRV Avg: 36 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-11:
  HRV Avg: 35 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-10:
  HRV Avg: 39 ms — Normal
  Normal Range: 29 - 39 ms
  Baseline: 34 ms

Sleep HRV Time Series — Last 7 days
========================

  timestamp=1789364990, timezone=12, hrv=33 ms, status=0, confidence=97
  timestamp=1789367690, timezone=12, hrv=65 ms, status=0, confidence=97
  timestamp=1789381490, timezone=12, hrv=86 ms, status=0, confidence=83
  timestamp=1789384190, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789385990, timezone=12, hrv=63 ms, status=0, confidence=85
  timestamp=1789389290, timezone=12, hrv=43 ms, status=0, confidence=86
  timestamp=1789390490, timezone=12, hrv=62 ms, status=0, confidence=84
  timestamp=1789391390, timezone=12, hrv=64 ms, status=0, confidence=87
  timestamp=1789392290, timezone=12, hrv=26 ms, status=0, confidence=97
  timestamp=1789395890, timezone=12, hrv=74 ms, status=0, confidence=87
  timestamp=1789396190, timezone=12, hrv=77 ms, status=0, confidence=91
  timestamp=1789402490, timezone=12, hrv=28 ms, status=0, confidence=90
  timestamp=1789403390, timezone=12, hrv=36 ms, status=0, confidence=90
  timestamp=1789403690, timezone=12, hrv=26 ms, status=0, confidence=97
  timestamp=1789405490, timezone=12, hrv=23 ms, status=0, confidence=86
  timestamp=1789405790, timezone=12, hrv=53 ms, status=0, confidence=88
  timestamp=1789406990, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1789409990, timezone=12, hrv=56 ms, status=0, confidence=91
  timestamp=1789415990, timezone=12, hrv=17 ms, status=0, confidence=100
  timestamp=1789416590, timezone=12, hrv=21 ms, status=0, confidence=100
  timestamp=1789416890, timezone=12, hrv=24 ms, status=0, confidence=100
  timestamp=1789417190, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1789417790, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789418090, timezone=12, hrv=39 ms, status=0, confidence=100
  timestamp=1789418690, timezone=12, hrv=65 ms, status=0, confidence=100
  timestamp=1789419290, timezone=12, hrv=19 ms, status=0, confidence=100
2026-09-15:
  timestamp=1789419890, timezone=12, hrv=40 ms, status=0, confidence=100
  timestamp=1789420490, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1789421090, timezone=12, hrv=36 ms, status=0, confidence=100
  timestamp=1789421990, timezone=12, hrv=54 ms, status=0, confidence=90
  timestamp=1789422590, timezone=12, hrv=55 ms, status=0, confidence=93
  timestamp=1789423190, timezone=12, hrv=51 ms, status=0, confidence=97
  timestamp=1789423790, timezone=12, hrv=65 ms, status=0, confidence=85
  timestamp=1789424390, timezone=12, hrv=58 ms, status=0, confidence=96
  timestamp=1789424990, timezone=12, hrv=30 ms, status=0, confidence=100
